osm_id,state,city,county,district,city_district,town,suburb,village,neighbourhood,road,address,status
587976967,Tỉnh Phú Thọ,Việt Trì,,,,,,,,Nguyễn Tất Thành,"Nguyễn Tất Thành, Việt Trì, Tỉnh Phú Thọ",3
546126801,Tỉnh Cà Mau,,Trần Văn Thời,,,Trần Văn Thời,,,,Đường Dường Vàn Thà,"Đường Dường Vàn Thà, Trần Văn Thời, Tỉnh Cà Mau",3
570587154,Thành phố Hà Nội,,,,Quận Cầu Giấy,,,,,Ngõ 169 Doãn Kế Thiện,"Ngõ 169 Doãn Kế Thiện, Quận Cầu Giấy, Thành phố Hà Nội",3
559962867,Tỉnh Quảng Nam,Thành phố Tam Kỳ,,,,,,,,Nguyễn Tất Thành,"Nguyễn Tất Thành, Thành phố Tam Kỳ, Tỉnh Quảng Nam",3
584375627,Tỉnh Quảng Nam,,Núi Thành,,,,,,,Old Runway 14/32,"Old Runway 14/32, Núi Thành, Tỉnh Quảng Nam",3
571634184,Tỉnh Tây Ninh,Thành phố Tây Ninh,,,,,,,,hẻm 6 Ba Mươi Tháng Tư,"hẻm 6 Ba Mươi Tháng Tư, Thành phố Tây Ninh, Tỉnh Tây Ninh",3
591022117,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Ngách 11 Ngõ 11 Nguyễn Quý Đức,"Ngách 11 Ngõ 11 Nguyễn Quý Đức, Quận Thanh Xuân, Thành phố Hà Nội",3
591022162,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Đường Lương Thế Vinh,"Đường Lương Thế Vinh, Quận Thanh Xuân, Thành phố Hà Nội",3
593624179,Quảng Ngãi,Quảng Ngãi,,,,,Phường Trần Hưng Đạo,,,Đại Lộ Hùng Vương,"Đại Lộ Hùng Vương, Phường Trần Hưng Đạo, Quảng Ngãi",3
593644009,Quảng Ngãi,Quảng Ngãi,,,,,Phường Nghĩa Chánh,,,ĐƯỜNG MAI ĐÌNH DÕNG,"ĐƯỜNG MAI ĐÌNH DÕNG, Phường Nghĩa Chánh, Quảng Ngãi",3
593651539,Tỉnh Quảng Nam,Thành phố Tam Kỳ,,,,,,,,Trương Chí Cương,"Trương Chí Cương, Thành phố Tam Kỳ, Tỉnh Quảng Nam",3
586748297,Thành phố Hà Nội,,,,Quận Cầu Giấy,,,,,Ngõ 165 Cầu Giấy,"Ngõ 165 Cầu Giấy, Quận Cầu Giấy, Thành phố Hà Nội",3
546125885,Tỉnh Cà Mau,,Trần Văn Thời,,,Trần Văn Thời,,,,987A,"987A, Trần Văn Thời, Tỉnh Cà Mau",3
547031270,Tỉnh Cà Mau,,Trần Văn Thời,,,Trần Văn Thời,,,,Đường Nguyền Ngọc Sanh,"Đường Nguyền Ngọc Sanh, Trần Văn Thời, Tỉnh Cà Mau",3
591021437,Thành phố Hà Nội,,,,,,Quận Thanh Xuân,,,Đường Nguyễn Trãi,"Đường Nguyễn Trãi, Quận Thanh Xuân, Thành phố Hà Nội",3
589018439,Tỉnh Phú Thọ,Việt Trì,,,,,,,,Đường Trần Phú,"Đường Trần Phú, Việt Trì, Tỉnh Phú Thọ",3
591693347,Tỉnh Bình Thuận,Phan Thiết,,,,,,,,Lê Văn Phấn,"Lê Văn Phấn, Phan Thiết, Tỉnh Bình Thuận",3
550244076,Tỉnh Phú Thọ,,,,,Thị xã Phú Thọ,,,,Phố Phú Bình,"Phố Phú Bình, Thị xã Phú Thọ, Tỉnh Phú Thọ",3
567218543,Tỉnh Tây Ninh,Thành phố Tây Ninh,,,,,,,,hẻm 29 Trần Hưng Đạo,"hẻm 29 Trần Hưng Đạo, Thành phố Tây Ninh, Tỉnh Tây Ninh",3
591458403,Tỉnh Hòa Bình,Thành phố Hoà Bình,,,,,,,,Cù Chính Lan,"Cù Chính Lan, Thành phố Hoà Bình, Tỉnh Hòa Bình",3
553264671,Tỉnh Khánh Hòa,Nha Trang,,,,,,,,Hoàng Minh Thảo,"Hoàng Minh Thảo, Nha Trang, Tỉnh Khánh Hòa",3
542376870,Thành phố Hà Nội,,,,Quận Hà Đông,,,,,Tô Hiệu,"Tô Hiệu, Quận Hà Đông, Thành phố Hà Nội",3
591693318,Tỉnh Bình Thuận,Phan Thiết,,,,,,,,Nguyễn Tương,"Nguyễn Tương, Phan Thiết, Tỉnh Bình Thuận",3
570575348,Thành phố Hà Nội,,,,Hoàng Mai,,,,,Ngõ 236,"Ngõ 236, Hoàng Mai, Thành phố Hà Nội",3
570584498,Thành phố Hà Nội,,,,Hoàng Mai,,,,,Phố Trịnh Đình Cửu,"Phố Trịnh Đình Cửu, Hoàng Mai, Thành phố Hà Nội",3
